ID,lat,Temp sea,Temp land,Temp average,NPP sea (gC/m2/year),NPP land (gC/m2/year),NPP average (gC/m2/year),AMP,ANA,CAT,OCE,POT,NON_MIG_OCE,NON_MIG_FW
1,-87.5,-1.79,-39.7,-20.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
2,-82.5,-1.79,-33.51,-17.65,217.2,NA,217.2,NA,NA,NA,NA,NA,NA,NA
3,-77.5,-1.79,-32.66,-17.23,59.1,NA,59.1,NA,NA,NA,2,NA,NA,NA
4,-72.5,-1.77,-28.81,-15.29,85.6,NA,85.6,NA,NA,NA,8,NA,2,NA
5,-67.5,-1.43,-22.81,-12.12,71.2,NA,71.2,NA,NA,NA,14,NA,3,NA
6,-62.5,-0.21,-5.75,-2.98,65.1,NA,65.1,NA,NA,NA,20,NA,20,NA
7,-57.5,2.14,3.9,3.02,89.6,352.3,221,1,NA,NA,15,NA,28,NA
8,-52.5,4.84,5.21,5.02,148.5,447.6,298.1,1,2,1,51,NA,55,NA
9,-47.5,8.15,7.6,7.87,185.9,457.8,321.9,13,2,4,80,NA,137,NA
10,-42.5,12.34,9.94,11.14,213.9,702.3,458.1,13,9,11,122,1,318,NA
11,-37.5,16.2,12.89,14.54,166.8,490.4,328.6,28,7,15,184,22,380,NA
12,-32.5,19.2,16.52,17.86,121,362.4,241.7,52,8,28,259,45,508,1
13,-27.5,21.84,18.76,20.3,102.8,483,292.9,74,11,34,238,71,522,6
14,-22.5,23.73,21.48,22.61,110.4,592.3,351.4,105,10,27,262,81,497,17
15,-17.5,25.35,22.34,23.85,121.5,1042.6,582.1,133,12,35,245,92,467,27
16,-12.5,26.71,22.25,24.48,165.8,907.1,536.5,117,14,26,237,88,417,34
17,-7.5,27.43,23.83,25.63,171.4,875.3,523.4,135,12,29,203,90,413,21
18,-2.5,27.47,24.2,25.84,124.3,850.5,487.4,108,13,26,166,140,550,50
19,2.5,27.92,24.78,26.35,128.1,778.1,453.1,135,13,18,169,132,542,32
20,7.5,28.19,25,26.59,137.7,443.2,290.5,184,15,30,214,181,467,26
21,12.5,27.62,26.2,26.91,158.3,443.1,300.7,152,18,27,223,216,548,17
22,17.5,26.78,25.95,26.36,157.9,471.1,314.5,149,22,25,254,177,482,NA
23,22.5,25.48,23.99,24.74,160.3,327,243.7,186,22,33,312,99,346,1
24,27.5,23.55,19.44,21.5,173.3,420,296.7,124,24,30,321,75,213,25
25,32.5,20.94,12.69,16.81,230.3,331.5,280.9,79,32,19,313,43,142,34
26,37.5,18.01,9.59,13.8,266.8,400.8,333.8,50,39,16,326,38,88,38
27,42.5,13.49,7.82,10.66,262.5,380.5,321.5,30,49,12,233,44,68,27
28,47.5,9.43,4.13,6.78,345.9,406.8,376.4,17,51,10,136,46,54,23
29,52.5,7.48,0.74,4.11,317,406,361.5,11,37,10,116,36,45,11
30,57.5,5.75,-1.83,1.96,459.1,294.1,376.6,7,39,7,109,31,19,2
31,62.5,4.04,-5.53,-0.74,524.7,219.7,372.2,4,37,5,78,27,14,3
32,67.5,1.49,-9.53,-4.02,417.1,94.7,255.9,1,29,4,50,14,5,1
33,72.5,-0.42,-14.75,-7.58,276.7,22.7,149.7,1,16,1,34,4,4,NA
34,77.5,-1.59,-17.44,-9.51,240.9,55.3,148.1,NA,1,NA,16,NA,1,NA
35,82.5,-1.79,-17.24,-9.52,NA,NA,NA,NA,1,NA,5,NA,1,NA
36,87.5,-1.79,NA,-1.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA